timestamp,temperature,usage
1644186262,29.0,1.2
1644186367,28.0,1.2
1644186427,28.0,1
1644186488,29.0,1.2
1644186547,29.0,1.2
1644186607,31.0,1.1
1644187507,29.0,1.2
1644188408,29.0,1
1644189307,30.0,1.1
1644190207,28.0,1
1644191107,28.0,0.9
1644192008,29.0,0.8
1644192907,30.0,1
1644193807,30.0,1
1644194707,28.0,1.2
1644195608,30.0,0.9
1644196507,29.0,0.9
1644197407,29.0,0.9
1644198307,30.0,0.9
1644199208,29.0,0.9
1644200107,29.0,1
1644201007,29.0,1.2
1644201907,29.0,1.1
1644202808,29.0,0.8
1644203707,29.0,1.2
1644204607,30.0,0.8
1644205507,29.0,1
1644206408,28.0,1.1
1644207307,31.0,1
1644208207,30.0,0.9
1644209107,29.0,1
1644210008,31.0,0.9
1644210907,29.0,0.7
1644211807,31.0,0.9
1644212707,30.0,1
1644213608,30.0,1
1644214507,30.0,1
1644215407,31.0,1.1
1644216307,30.0,1.2
1644217208,30.0,1.1
1644218107,31.0,1
1644219007,31.0,1.1
1644219907,31.0,1.1
1644220808,30.0,1
1644221707,31.0,0.9
1644222607,30.0,1
1644223507,31.0,0.9
1644224408,29.0,1
1644225307,29.0,0.7
1644226207,30.0,1.1
1644227107,29.0,0.8
1644228008,29.0,0.8
1644228907,30.0,0.8
1644229807,30.0,0.8
1644230707,30.0,1
1644231608,30.0,0.9
1644232507,30.0,1
1644233407,30.0,0.9
1644234307,30.0,1
1644235208,30.0,1
1644236107,31.0,1
1644237007,30.0,1.1
1644237907,29.0,1
1644238807,31.0,1
1644239708,30.0,1
1644240607,29.0,1
1644241507,29.0,1.1
1644242407,30.0,1
1644243308,29.0,1
1644244207,29.0,1.2
1644244507,30.0,0.9
1644244807,30.0,1.2
1644245108,30.0,1
1644245407,29.0,1.9
1644245707,30.0,1.2
1644246007,29.0,1
1644246308,28.0,0.9
1644246607,30.0,1.2
1644246907,29.0,1.1
1644247207,29.0,1.5
1644247507,29.0,1
1644247808,29.0,0.9
