timestamp,temperature,usage
1644187988,44.0,0.7
1644188408,44.0,0.3
1644189307,44.0,0.7
1644190207,44.0,0.7
1644191107,44.0,0.5
1644192008,44.0,0.3
1644192907,44.0,0.7
1644193807,44.0,0.5
1644194387,44.0,0.3
1644194707,44.0,0.3
1644195608,44.0,0.8
1644196507,44.0,19.5
1644197407,45.0,0.5
1644198307,44.0,67.6
1644199208,44.0,0.5
1644200107,45.0,61.8
1644201007,44.0,0.8
1644201907,45.0,62.4
1644202808,44.0,0.5
1644203707,44.0,27.7
1644204607,44.0,31.3
1644205507,45.0,51.2
1644206408,44.0,70.2
1644207307,44.0,50.2
1644208207,45.0,74.2
1644209108,45.0,50
1644210007,45.0,45.5
1644210907,45.0,77.2
1644211807,45.0,46.2
1644212708,45.0,50.9
1644213607,46.0,50.1
1644214507,46.0,29.5
1644215407,45.0,66.1
1644216308,45.0,46.6
1644217207,45.0,43.1
1644218107,45.0,50.1
1644219007,45.0,59.9
1644219908,47.0,80.9
1644220807,50.0,75.8
1644221707,45.0,50.2
1644222607,46.0,28.9
1644223507,45.0,79.6
1644224408,44.0,50.9
1644225307,44.0,10.6
1644226207,45.0,0.7
1644227107,44.0,0.7
1644228008,45.0,27.1
1644228907,44.0,0.7
1644229807,44.0,0.5
1644230707,44.0,0.5
1644231608,44.0,1
1644232507,44.0,0.7
1644233220,51.0,0.7
1644233413,44.0,0.5
1644234313,47.0,0.3
1644235214,44.0,0.5
1644237013,44.0,0.3
1644237913,44.0,62
1644238814,44.0,0.3
1644239713,44.0,54.2
1644240613,44.0,0.2
1644241514,44.0,0.3
1644242413,44.0,0.7
1644243313,45.0,1
1644244213,44.0,0.3
1644244514,44.0,0.3
1644244813,44.0,0.3
1644245113,50.0,0.3
1644245414,44.0,58.1
1644245713,44.0,0.5
1644246013,44.0,0.2
1644246313,44.0,0.2
1644246614,44.0,0.3
1644246913,44.0,0.5
1644247213,44.0,0.7
1644247513,44.0,25.4
1644247814,44.0,41.1
1644248113,44.0,0.8
1644248413,44.0,0.3
1644248714,51.0,0.3
1644249013,44.0,45.9
1644249313,44.0,0.3
1644249613,44.0,0.3
1644249914,44.0,0.5
1644250213,44.0,42.4
1644250513,44.0,42.7
1644250814,44.0,0.3
1644251113,44.0,0.5
1644251413,44.0,0.3
1644251713,44.0,0.2
1644252014,44.0,0.3
1644252313,44.0,0.2
1644252613,44.0,0.3
1644252913,44.0,31.9
1644253214,44.0,0.3
1644253513,44.0,0.5
1644253813,44.0,0.3
1644254114,44.0,0.5
1644254413,45.0,0.8
1644254713,44.0,68.1
1644255013,44.0,0.3
1644255314,44.0,0.3
1644255613,44.0,0.5
1644255913,44.0,3.8
1644256213,47.0,0.5
1644256514,44.0,69.4
1644256813,44.0,0.5
1644257113,44.0,0.3
1644257414,44.0,0.3
1644257707,45.0,0.5
1644258007,51.0,67.1
1644258307,44.0,0.8
1644258608,44.0,1.8
1644258907,44.0,0.3
1644259207,44.0,0.5
1644259507,44.0,0.7
1644259808,45.0,1
1644260107,44.0,32.9
1644260407,44.0,0.3
1644260707,44.0,0.3
1644261007,44.0,0.5
1644261308,44.0,0.5
1644261607,45.0,0.5
1644261907,44.0,61.5
1644262207,44.0,0.7
1644262508,44.0,0.8
1644262807,44.0,0.8
1644263107,44.0,1.3
1644263407,44.0,0.5
1644263708,45.0,28.7
1644264007,44.0,2.6
1644264307,44.0,0.5
1644264607,44.0,0.5
1644264908,44.0,0.8
1644265207,44.0,0.3
1644265507,45.0,1
1644265807,44.0,58.8
1644266108,44.0,0.7
1644266407,44.0,0.3
1644266707,44.0,1.7
1644267007,44.0,0.8
1644267307,44.0,0.7
1644267608,45.0,59.4
1644267907,44.0,0.8
1644268207,44.0,0.5
1644268507,44.0,1.7
1644268808,44.0,1
1644269107,44.0,0.7
1644269407,46.0,17.2
1644269707,44.0,18.8
1644270008,44.0,0.3
1644270307,44.0,0.8
1644270607,44.0,0.7
1644270907,44.0,0.5
1644271208,45.0,0.8
